AMDPROFILER POWER PROFILE REPORT

LAUNCHED APPLICATION DETAILS
Target Path:,./stream.clang-nts,
Command Line Arguments:,,
Working Directory:,/home/hamza/STREAM,
CPU Core Affinity Mask:,0-127,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x1)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jan-06-2023_01-22-07,

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
0.,core0-core-effective-frequency,Frequency,MHz,Core0-Average CPU Core Frequency (Core Effective Frequency) for the sampling period in MHz. The core can go into various P-States within the sampling period with its own frequency.

PROFILE RECORDS
RecordId,Timestamp,core0-core-effective-frequency
1,1:22:7:219, 2179.40
2,1:22:7:319, 1956.64
3,1:22:7:419, 3226.66
4,1:22:7:519, 3249.77
5,1:22:7:619, 3249.69
6,1:22:7:719, 3249.87
7,1:22:7:819, 3249.82
8,1:22:7:919, 3249.82
9,1:22:8:019, 3249.82
10,1:22:8:119, 3249.80
11,1:22:8:219, 3249.80
12,1:22:8:319, 3244.55
13,1:22:8:419, 3249.72
14,1:22:8:519, 3249.75
15,1:22:8:619, 3249.87
16,1:22:8:719, 3249.75
17,1:22:8:819, 3249.80
18,1:22:8:919, 3249.77
19,1:22:9:019, 3249.82
20,1:22:9:119, 3249.85
21,1:22:9:219, 3212.45
22,1:22:9:319, 1840.06
23,1:22:9:419, 2578.51
24,1:22:9:519, 2379.98
25,1:22:9:619, 1798.42
26,1:22:9:719, 1798.12
27,1:22:9:819, 1799.01
28,1:22:9:919, 1798.75
29,1:22:10:019, 1645.35
30,1:22:10:119, 1798.59
31,1:22:10:219, 1769.19
32,1:22:10:319, 1797.63
33,1:22:10:419, 1796.30
34,1:22:10:519, 1795.08
35,1:22:10:619, 1797.06
